Model,Replicate,Time,Average,SE
28062018,Rep 3,112,4472.756740376912,294.56468938573926
28062018,Rep 4,112,4703.068292633683,292.5900059830108
28062018,Rep 5,112,4589.189270336132,331.45727193753146
28062018,Rep 1,113,5856.3717171713515,333.4952049615732
28062018,Rep 2,113,5065.771115932963,348.69433907660704
28062018,Rep 3,113,4772.107638237807,323.8776546979974
28062018,Rep 4,113,5000.892864430485,326.4582848353066
28062018,Rep 5,113,4943.278878168974,366.7933240172186
28062018,Rep 1,114,6304.697945635438,360.0416950420809
28062018,Rep 2,114,5424.352714818642,375.0331128384738
28062018,Rep 3,114,5087.119786,354.82840283731895
28062018,Rep 4,114,5310.121693889808,358.58288270047194
28062018,Rep 5,114,5328.160881382867,401.13617690588796
28062018,Rep 1,115,6668.795618726783,375.8422755
28062018,Rep 2,115,5733.7589855364795,393.52704958069666
28062018,Rep 3,115,5349.874647885517,377.5906902286262
28062018,Rep 4,115,5584.047535653093,380.91186320444586
28062018,Rep 5,115,5652.1614113628475,423.3947809574409
28062018,Rep 1,116,6961.557539,381.56308289311863
28062018,Rep 2,116,5980.570470513099,406.91066133313507
28062018,Rep 3,116,5560.415388942771,391.91311904883634
28062018,Rep 4,116,5806.414940662721,395.35009682751405
28062018,Rep 5,116,5916.328057808766,435.22806187059507
28062018,Rep 1,117,7132.218876126922,379.9953440057016
28062018,Rep 2,117,6118.491816376681,413.65628369673806
28062018,Rep 3,117,5693.259403820422,397.4081507714431
28062018,Rep 4,117,5946.1502699080465,401.3311534970641
28062018,Rep 5,117,6073.857663966859,437.9230202
28062018,Rep 1,118,7119.971371781004,374.29144447604915
28062018,Rep 2,118,6101.118709575983,409.6690883241248
28062018,Rep 3,118,5681.7931476512695,394.15067016487365
28062018,Rep 4,118,5954.099374377219,398.2854522923913
28062018,Rep 5,118,6075.860405705368,434.1740097044044
28062018,Rep 1,119,6944.930396233219,364.5614475196304
28062018,Rep 2,119,5970.784251698795,394.7464409305174
28062018,Rep 3,119,5530.910753917016,380.6343965432046
28062018,Rep 4,119,5830.337176,385.8495306554078
28062018,Rep 5,119,5924.453975502589,422.27305715811843
28062018,Rep 1,120,6660.666988758692,348.5203174
28062018,Rep 2,120,5760.603528049174,369.9854917808713
28062018,Rep 3,120,5319.180743,359.2419310721288
28062018,Rep 4,120,5628.588505,362.9087097889281
28062018,Rep 5,120,5683.543964840772,401.47403040608435
28062018,Rep 1,121,6311.907510943907,328.2165781196446
28062018,Rep 2,121,5498.555217253947,340.1861429764448
28062018,Rep 3,121,5076.028335195472,333.00918655813257
28062018,Rep 4,121,5388.619915979869,332.7971904444549
28062018,Rep 5,121,5388.712814193414,374.3977960469779
28062018,Rep 1,122,5926.061278732908,306.87435598946416
28062018,Rep 2,122,5224.065843579687,309.58274586704874
28062018,Rep 3,122,4828.785810009663,303.3212495056101
28062018,Rep 4,122,5125.085780320873,300.5647555914253
28062018,Rep 5,122,5060.394682827723,343.9746107859873
28062018,Rep 1,123,5579.864253276037,287.5489519575477
28062018,Rep 2,123,4982.320224309598,284.1079949164521
28062018,Rep 3,123,4614.309495023254,276.64942718729793
28062018,Rep 4,123,4890.447842491913,272.84204842311215
28062018,Rep 5,123,4768.975699100771,317.29448750566246
28062018,Rep 1,124,5359.755324848956,275.87583251975946
28062018,Rep 2,124,4838.997885,269.1600053320305
28062018,Rep 3,124,4481.765173084285,261.0487723196401
28062018,Rep 4,124,4744.021964154802,255.94302649739296
28062018,Rep 5,124,4582.095169877083,300.00289410549306
28062018,Rep 1,125,5298.990564,275.6894779161324
28062018,Rep 2,125,4821.3490136400305,266.5529159311347
28062018,Rep 3,125,4455.945897361014,257.71399107089945
28062018,Rep 4,125,4708.895225218696,251.42355116774698
28062018,Rep 5,125,4524.736057469617,295.52585238282666
28062018,Rep 1,126,5346.581390046632,283.7388822381731
28062018,Rep 2,126,4888.140666671333,272.1995715676347
28062018,Rep 3,126,4501.748853072006,263.12233442183805
28062018,Rep 4,126,4754.103928,254.1550848450898
28062018,Rep 5,126,4555.454798,300.35062777147647
28062018,Rep 1,127,5448.774224003199,295.7220915299483
28062018,Rep 2,127,4999.589918,280.71876161493253
28062018,Rep 3,127,4591.928052470188,272.7408866137831
28062018,Rep 4,127,4846.947985224339,261.0244009247078
28062018,Rep 5,127,4632.945401196949,310.0598654504388
28062018,Rep 1,128,5562.054159304337,307.3926667978422
28062018,Rep 2,128,5125.771431424225,289.2913543668388
28062018,Rep 3,128,4691.962790404818,282.3831867355522
28062018,Rep 4,128,4947.543656,269.87901444385585
28062018,Rep 5,128,4725.138488134956,320.97754053247365
28062018,Rep 1,129,5651.456065175241,316.2414712928817
28062018,Rep 2,129,5219.503752367231,293.99408875991855
28062018,Rep 3,129,4783.832077182652,288.4501594946448
28062018,Rep 4,129,5027.389061549556,277.7409177539783
28062018,Rep 5,129,4798.047394804644,330.1540591336671
28062018,Rep 1,130,5672.867171799912,319.45414287972164
28062018,Rep 2,130,5257.158376760414,294.3971061466137
28062018,Rep 3,130,4829.378278828212,288.66489884695727
28062018,Rep 4,130,5051.07929,281.2457827651423
28062018,Rep 5,130,4818.883538,334.0264456553671
28062018,Rep 1,131,5607.906433310551,315.3255754857989
28062018,Rep 2,131,5221.043370879372,288.71943855613375
28062018,Rep 3,131,4806.352306002723,282.1395331113312
28062018,Rep 4,131,5018.905821941823,278.28228791658745
28062018,Rep 5,131,4771.9002739683865,330.10409018190893
28062018,Rep 1,132,5500.258696,306.54931693399016
28062018,Rep 2,132,5151.264256780543,279.9249188
28062018,Rep 3,132,4754.455424101997,273.40312588977395
28062018,Rep 4,132,4964.218280946073,270.48111874673873
28062018,Rep 5,132,4693.866089576555,321.2629914956761
28062018,Rep 1,133,5404.214616856905,299.0048274315537
28062018,Rep 2,133,5091.091974233905,272.8488833
28062018,Rep 3,133,4710.355364950829,265.7297592853137
28062018,Rep 4,133,4930.3051501402915,262.3404844003716
28062018,Rep 5,133,4622.948754946138,313.4995649168605
28062018,Rep 1,134,5347.121850983837,294.46886011318645
28062018,Rep 2,134,5065.3733628680075,270.2342091006919
28062018,Rep 3,134,4708.302488726676,261.5635590912301
28062018,Rep 4,134,4928.340651917026,256.62326078358325
28062018,Rep 5,134,4581.865076068691,309.10800390866797
28062018,Rep 1,135,5381.477647,296.49278549136767
28062018,Rep 2,135,5110.684138075045,274.05229130319424
28062018,Rep 3,135,4781.71209,262.2470695410677
28062018,Rep 4,135,4989.32314,257.4110188955164
28062018,Rep 5,135,4606.756911092665,312.2119659
28062018,Rep 1,136,5552.541637556935,307.31564636386656
28062018,Rep 2,136,5275.782726754979,285.87876288637017
28062018,Rep 3,136,4959.092237264629,269.4169455870119
28062018,Rep 4,136,5148.833994140054,266.9908643638999
28062018,Rep 5,136,4753.262725296016,325.6513943655512
28062018,Rep 1,137,5852.6394670367945,324.55499267723366
28062018,Rep 2,137,5554.599694045504,303.1873589085204
28062018,Rep 3,137,5237.896070124829,283.13514588825376
28062018,Rep 4,137,5395.4640339682655,285.36436088311206
28062018,Rep 5,137,5019.321997202361,348.9679873731334
28062018,Rep 1,138,6231.23064,344.63182934432353
28062018,Rep 2,138,5888.049687501616,320.9382115372108
28062018,Rep 3,138,5554.605962113341,301.98219959343584
28062018,Rep 4,138,5681.604306569621,307.33362799916705
28062018,Rep 5,138,5346.819427469589,378.62174853204004
28062018,Rep 1,139,6618.287844,361.3104000859229
28062018,Rep 2,139,6218.564460132965,335.5153999870587
28062018,Rep 3,139,5864.5111365094135,320.2984401150789
28062018,Rep 4,139,5979.790573987337,327.9380691122437
28062018,Rep 5,139,5675.165378650978,405.4687548104144
28062018,Rep 1,140,6967.892432641373,370.88881005012337
28062018,Rep 2,140,6534.067570918999,347.1659804720116
28062018,Rep 3,140,6147.836661750999,336.5908100238817
28062018,Rep 4,140,6261.526951346194,344.3224568
28062018,Rep 5,140,5973.840099452687,425.7087098695239
