Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
162,7,0,0,102,0
162,8,0,0,92,0
162,9,0,0,82,0
162,10,0,0,72,0
162,11,0,0,62,0
162,12,0,0,52,0
162,13,0,0,42,0
162,14,0,0,32,0
162,15,0,0,22,0
162,16,0,0,12,0
162,17,0,0,2,0
163,1,5.322695259234464e-05,3.9378891108100995e-06,163,0.005322695
163,2,5.2129489652296305e-05,4.069501497815039e-06,153,0.005212949
163,3,6.310411905277973e-05,1.940058717522773e-06,143,0.006310412
163,4,5.7068072882513856e-05,2.5146034975901574e-06,133,0.005706807
163,5,6.090919317268305e-05,2.016168161049813e-06,123,0.006090919
163,6,1.0425897930459262e-05,2.016168161049815e-06,113,0.00104259
163,7,0,0,103,0
163,8,0,0,93,0
163,9,0,0,83,0
163,10,0,0,73,0
163,11,0,0,63,0
163,12,0,0,53,0
163,13,0,0,43,0
163,14,0,0,33,0
163,15,0,0,23,0
163,16,0,0,13,0
163,17,0,0,3,0
164,1,5.212948965229631e-05,3.470482538177587e-06,164,0.005212949
164,2,5.267822112232048e-05,3.821472487203339e-06,154,0.005267822
164,3,6.310411905277973e-05,1.940058717522773e-06,144,0.006310412
164,4,5.761680435253803e-05,2.295508431352528e-06,134,0.00576168
164,5,6.145792464270721e-05,1.8608389509146699e-06,124,0.006145792
164,6,1.0425897930459262e-05,2.016168161049815e-06,114,0.00104259
164,7,0,0,104,0
164,8,0,0,94,0
164,9,0,0,84,0
164,10,0,0,74,0
164,11,0,0,64,0
164,12,0,0,54,0
164,13,0,0,44,0
164,14,0,0,34,0
164,15,0,0,24,0
164,16,0,0,14,0
164,17,0,0,4,0
165,1,5.267822112232048e-05,2.9294244224001266e-06,165,0.005267822
165,2,5.377568406236882e-05,3.7418497455218996e-06,155,0.005377568
165,3,6.365285052280391e-05,2.0161681610498156e-06,145,0.006365285
165,4,5.9262998762610535e-05,1.860838950914671e-06,135,0.0059263
165,5,6.20066561127314e-05,2.228957768154356e-06,125,0.006200666
165,6,1.0974629400483433e-05,2.295508431352529e-06,115,0.001097463
165,7,0,0,105,0
165,8,0,0,95,0
165,9,0,0,85,0
165,10,0,0,75,0
165,11,0,0,65,0
165,12,0,0,55,0
165,13,0,0,45,0
165,14,0,0,35,0
165,15,0,0,25,0
165,16,0,0,15,0
165,17,0,0,5,0
166,1,5.377568406236882e-05,2.688224214733087e-06,166,0.005377568
166,2,5.4324415532392997e-05,3.513595775553928e-06,156,0.005432442
166,3,6.420158199282808e-05,2.2289577681543585e-06,146,0.006420158
166,4,5.98117302326347e-05,1.599813402449346e-06,136,0.005981173
166,5,6.145792464270721e-05,2.2289577681543564e-06,126,0.006145792
166,6,1.0974629400483433e-05,2.295508431352529e-06,116,0.001097463
166,7,0,0,106,0
166,8,0,0,96,0
166,9,0,0,86,0
166,10,0,0,76,0
166,11,0,0,66,0
166,12,0,0,56,0
166,13,0,0,46,0
166,14,0,0,36,0
166,15,0,0,26,0
166,16,0,0,16,0
166,17,0,0,6,0
167,1,5.4324415532392997e-05,2.797992473375705e-06,167,0.005432442
167,2,5.4324415532392997e-05,3.513595775553928e-06,157,0.005432442
167,3,6.090919317268305e-05,2.0161681610498135e-06,147,0.006090919
167,4,5.98117302326347e-05,1.599813402449346e-06,137,0.005981173
167,5,6.20066561127314e-05,2.228957768154356e-06,127,0.006200666
167,6,1.0974629400483433e-05,2.295508431352529e-06,117,0.001097463
167,7,0,0,107,0
167,8,0,0,97,0
167,9,0,0,87,0
167,10,0,0,77,0
167,11,0,0,67,0
167,12,0,0,57,0
167,13,0,0,47,0
167,14,0,0,37,0
167,15,0,0,27,0
167,16,0,0,17,0
167,17,0,0,7,0
