Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Inside,Std_Error_Relative_Abundance_Inside,Aligned_Timestep,%
47,5,3326,0.2856462822071077,0,7,28.56462822
47,5,3327,0.2856457731304113,0,7,28.56457731
47,5,3328,0.285645,0,7,28.5645
48,1,3326,8.807140093886103e-05,5.459809190177258e-06,48,0.00880714
48,1,3327,3.5969106534054636e-05,2.664378261781826e-06,48,0.003596911
48,1,3328,1.1666666666666666e-05,1.3944333775567922e-06,48,0.001166667
48,2,3326,0.001190747,0,38,0.119074729
48,2,3327,0.000162749,5.237779601326949e-06,38,0.016274911
48,2,3328,1.7333333333333332e-05,1.4529663145135577e-06,38,0.001733333
48,3,3326,0.001963087,0,28,0.196308683
48,3,3327,0.001266024,1.0869344462407937e-05,28,0.126602374
48,3,3328,0.000178,9.1802929026173e-06,28,0.0178
48,4,3326,0.039874944,0,18,3.98749441
48,4,3327,0.039874641,0,18,3.9874641
48,4,3328,0.034296,3.4183329270281344e-05,18,3.4296
48,5,3326,0.23882988501332042,0,8,23.8829885
48,5,3327,0.2388304267556865,0,8,23.88304268
48,5,3328,0.23883000000000001,0,8,23.883
49,1,3326,0.000103162,3.841120290155802e-06,49,0.010316152
49,1,3327,3.2416602185012205e-05,1.9035237734126412e-06,49,0.00324166
49,1,3328,1.2666666666666667e-05,2.2730302828309758e-06,49,0.001266667
49,2,3326,0.001131759,0,39,0.113175866
49,2,3327,0.000119453,5.046029655583517e-06,39,0.011945296
49,2,3328,0.000115,6.032320356947143e-06,39,0.0115
49,3,3326,0.001867059,0,29,0.186705883
49,3,3327,0.00101091,7.418976566393289e-06,29,0.101090952
49,3,3328,0.000151,6.446359868601384e-06,29,0.0151
49,4,3326,0.033339552,0,19,3.333955229
49,4,3327,0.033339143,0,19,3.333914316
49,4,3328,0.022234666666666618,3.9261940858803934e-05,19,2.223466667
49,5,3326,0.1996874974278212,0,9,19.96874974
49,5,3327,0.1996873796172842,0,9,19.96873796
49,5,3328,0.1996866666666666,0,9,19.96866667
50,1,3326,0.000120447,6.079538573394832e-06,50,0.012044656
50,1,3327,1.7318458701581864e-05,1.0877278705215094e-06,50,0.001731846
50,1,3328,5e-06,1.5811388300841898e-06,50,0.0005
50,2,3326,0.001076886,0,40,0.107688551
50,2,3327,6.372304676094866e-05,4.652077013799695e-06,40,0.006372305
50,2,3328,5.099999999999999e-05,2.560381915956202e-06,40,0.0051
50,3,3326,0.001776518,0,30,0.177651813
50,3,3327,0.000653661,7.750458628623205e-06,30,0.06536608
50,3,3328,0.000119333,6.069047152010215e-06,30,0.011933333
50,4,3326,0.027875559,0,20,2.787555868
50,4,3327,0.027874947406283202,0,20,2.787494741
50,4,3328,0.016475666666666618,5.720722565084136e-05,20,1.647566667
50,5,3326,0.1669597807269045,0,10,16.69597807
50,5,3327,0.1669599333017308,0,10,16.69599333
50,5,3328,0.16694233333333333,1.354006400780477e-06,10,16.69423333
50,6,3326,1,0,0,100
50,6,3327,1,0,0,100
50,6,3328,1,0,0,100
51,1,3326,0.00019233,6.79574627563209e-06,51,0.019233038
51,1,3327,1.0879544568942451e-05,8.157959028911314e-07,51,0.001087954
51,1,3328,1.6666666666666667e-06,5.270462766947299e-07,51,0.000166667
